program_type,institution,campus,within_jabodetabek,city,country,major,academic_field,applications_count,acceptances_count,received_scholarship?,scholarship_description,decision_factors,additional_comments
Undergraduate university program (S1/Bachelor's),Xiamen University,Xiamen University CHINA,False,Xiamen,China (Mainland),Finance,Business & Economics,5,4,,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Campus/student life', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Beijing Foreign Studies University,,False,Beijing,China (Mainland),Finance,Business & Economics,2,2,,,"['Academic reputation', ' Cost/expenses', ' Family considerations', ' Career opportunities', ' Campus/student life']",
Undergraduate university program (S1/Bachelor's),Swiss German University,,True,Tangerang,Indonesia,IT - Cybersecurity,Computing & Data,4,4,,,"['Location/country preference', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Institut Teknologi Bandung,Ganesha,False,Bandung,Indonesia,Manajemen,Business & Economics,2,1,True,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",Nice
Undergraduate university program (S1/Bachelor's),Universitas Indonesia,Depok,True,Depok,Indonesia,Psychology,Medicine & Health Sciences,4,2,False,,"['Academic reputation', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']","Loving it by far, still amazed by how much I can achieve, and certainly excited for what the future holds"
Undergraduate university program (S1/Bachelor's),Raffles Jakarta,,True,Jakarta,Indonesia,Fashion design,"Media, Arts & Design",2,2,True,,"['Career opportunities', ' The choice to continue studying abroad on the third year']",
Undergraduate university program (S1/Bachelor's),The Chinese University of Hong Kong,Shenzhen,False,Shenzhen,China (Mainland),Computer Science and Engineering,Computing & Data,5,4,True,50% of tuition for 4 years,"['Academic reputation', ' Scholarship/financial aid', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life']",
Undergraduate university program (S1/Bachelor's),Prasetya Mulya,BSD,True,BSD,Indonesia,Finance,Business & Economics,3,3,True,"90% of entrance fee , 30% of entrance fee","['Academic reputation', ' Location/country preference', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Prasetiya Mulya university - Prasmul,BSD,True,Tangerang,Indonesia,Business,Business & Economics,1,1,,,"['Academic reputation', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Personal interest/passion']","For locations, its not that far and the program is quite interesting"
Undergraduate university program (S1/Bachelor's),Binus University,Alam Sutera,True,Tangerang,Indonesia,International Business Management,Business & Economics,1,1,True,Guess,"['Scholarship/financial aid', ' Location/country preference', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",I hope I choose the right major
Undergraduate university program (S1/Bachelor's),All Aviation Academy,-,False,"Iba, Zambales",Phillipines,Aviation Technique,None of above,1,1,False,,"['Cost/expenses', ' Career opportunities', ' Personal interest/passion']",I wish I could directly get a job after graduating.
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True,Tangerang,Indonesia,Global Business Marketing,Business & Economics,1,1,True,OSIS scholarship 50% of entrance fee,"['Scholarship/financial aid', ' Location/country preference', ' Family considerations']",
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,-,False,Xi An,China (Mainland),Biotechnology,Natural Sciences & Mathematics,4,4,False,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations']",-
Undergraduate university program (S1/Bachelor's),Ritsumeikan APU University,Beppu,False,"Beppu, Oita prefecture",Japan,Business Major - Finance n Accounting Focus,Business & Economics,1,1,True,50% free tuition for 4 years,"['Cost/expenses', ' Location/country preference', ' Career opportunities', ' Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Sichuan University,,False,Chengdu,China (Mainland),Business,Business & Economics,5,4,True,100% free tuition,"['Academic reputation', ' Scholarship/financial aid', ' Location/country preference']","I researched different cities, and Chengdu stood out to me most for its living conditions, affordable cost, and also the balance between nature and tech. + im beyond excited to leave this country."
Language school,Kyoto minsai language school,Nishikyogoku/saiin,False,"Kyoto, japan",Japan,Mechanical engineering,Engineering,1,1,False,,"['Location/country preference', ' Campus/student life', ' Personal interest/passion']","Kyoto is known to be harsh on all tourist even including japanese outside kyoto, so i hope it will work well"
Undergraduate university program (S1/Bachelor's),Institut Pertanian Bogor,,True,Bogor,Indonesia,Agricultural and Biosystem Engineering,Engineering,2,1,False,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Personal interest/passion']",Farmer life
Undergraduate university program (S1/Bachelor's),Universitas Bunda Mulia,Alam Sutra,True,Tangerang,Indonesia,English Language,Education & Teaching,2,2,True,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations']",
Undergraduate university program (S1/Bachelor's),Zhejiang university,Hangzhou,False,Hangzhou,China (Mainland),Business and management,Business & Economics,2,1,False,,"['Academic reputation', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Trisakti University,Trisakti school of management,True,"Grogol, Jakarta barat",Indonesia,Hospitality/Pengelolaan perhotelan,Business Management and Service Industry,1,1,False,,"['Academic reputation', ' Family considerations', ' Career opportunities']","Its the most optimal choice because Trisakti offers international programs to many other countries too, which aligns with my aim which is to study in china too"
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True,Jakarta,Indonesia,Artificial Intelligence,Computing & Data,1,1,True,100% of Building Fee (DP3),"['Academic reputation', ' Location/country preference', ' Family considerations']",
Pre-university/foundation program,Shanghai Jiao Tong University,,False,Shanghai,China (Mainland),Humanities & Social Sciences,Business & Economics,4,4,False,,"['Academic reputation', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Universitas Multimedia Nusantara,Gading Serpong,True,Tangerang,Indonesia,Film,"Media, Arts & Design",1,1,True,100% entrance fee,"['Academic reputation', ' Cost/expenses', ' Family considerations', ' Campus/student life', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Binus ,Kemanggisan,True,Jakarta,Indonesia,Ai,Ai,1,1,,,['Academic reputation'],Good
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True,South Tangerang,Indonesia,Artificial Intelligence,Computing & Data,1,1,True,50% of entrance fee,"['Academic reputation', ' Scholarship/financial aid', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Personal interest/passion']",It is very interesting major that is currently relevant and I hope that it will continue to do so.
Undergraduate university program (S1/Bachelor's),Shih Chien University,Taipei,False,Taipei,Taiwan,Industrial Design,Business & Economics,1,1,True,,['Academic reputation;Location/country preference;Career opportunities;Campus/student life;Personal interest/passion'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True,Tangerang,Indonesia,International Business Management,Business & Economics,2,2,True,100% entrance fee free,"['Cost/expenses', ' Location/country preference', ' Career opportunities']",
Pre-university/foundation program,Southwestern university of finance and economics,,False,Chengdu,China (Mainland),Chinese language,Business & Economics,2,1,,,['Family considerations'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,alam sutera,True,tangerang,Indonesia,international business management,Business & Economics,1,1,True,50% scholarship uang pangkal,['Location/country preference'],
Undergraduate university program (S1/Bachelor's),Bina Nusantara University ,Alam Sutera,True,Tangerang,Indonesia,Management,Business & Economics,2,2,True,100% of entrance fee,"['Location/country preference', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),National Taiwan University,,False,Taipei,Taiwan,Biotechnology and Food Nutrition,Medicine & Health Sciences,2,2,,,"['Academic reputation', ' Scholarship/financial aid', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life', ' Personal interest/passion']",I hope I didn't make the wrong choice
Undergraduate university program (S1/Bachelor's),National Taipei University of Technology,"Taipei, Taiwan",False,Taipei,Taiwan,"Industrial design, product design ","Media, Arts & Design",6,3,,,"['Academic reputation', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Beijing Normal Hong Kong Baptist University,,False,Zhuhai,China (Mainland),Food Science and Technology,Undecided/Exploratory,2,1,True,100% tuition fee and accommodation (maintain gpa above 3.0) ,"['Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities']",
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,,False,Xi'an,China (Mainland),Biotechnology,Medicine & Health Sciences,7,5,True,"Xi'an Belt and Road Scholarship (100% tuition + living allowance 1,500 RMB/months for 10 months)","['Academic reputation', ' Scholarship/financial aid', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Universitas Padjadjaran,Unpad Kampus Jatinangor,False,Jatinangor,Indonesia,Accounting,Business & Economics,5,3,False,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Asian Pacific University,,False,Kuala Lumpur,Malaysia,Animation,"Media, Arts & Design",2,2,True,,"['Family considerations', ' Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Xian Jiao Tong Liverpool university ,Suzhou,False,Suzhou,China (Mainland),Financial Mathematics,Business & Economics,2,1,False,,"['Academic reputation', ' Cost/expenses', ' Location/country preference']",My greatest enemy is the Great Firewall
Pre-university/foundation program,Prasetiya Mulya University,BSD,True,Tangerang,Indonesia,Business and MBA,Business & Economics,3,2,False,,"['Academic reputation', ' Career opportunities', ' Campus/student life', ' Personal interest/passion', ' W CONNECTIONNN..']","Peak universityyyy, DIDN’T REGRET ITTT"
Undergraduate university program (S1/Bachelor's),"Tamkang University, Taiwan ",New Taipei,False,New Taipei,Taiwan,International Business,Business & Economics,2,1,False,,"['Academic reputation', ' Cost/expenses', ' Location/country preference', ' Family considerations', ' Career opportunities', ' Campus/student life']",-
