program_type,institution,campus,within_jabodetabek,country,major,academic_field,applications_count,acceptances_count,received_scholarship?,scholarship_description,decision_factors,additional_comments
Undergraduate university program (S1/Bachelor's),Beijing Foreign Studies University,Not Specified,False,China, Finance,Business & Economics,2,2,,,"['Academic reputation', 'Cost/expenses', 'Family considerations', 'Career opportunities', 'Campus/student life']",
Undergraduate university program (S1/Bachelor's),Beijing Normal-Hong Kong Baptist University,Not Specified,False,China, Food Science and Technology,Natural Sciences & Mathematics,2,1,True,100% Tuition Fee and Accommodation (Maintain Gpa Above 3.0),"['Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities']",
Undergraduate university program (S1/Bachelor's),Jiangnan University,Lihu,False,China, Industrial Design,"Media, Arts & Design",4,2,False,,"['Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,Not Specified,False,China, Biotechnology,Natural Sciences & Mathematics,4,4,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations']",-
Undergraduate university program (S1/Bachelor's),Northwestern Polytechnical University,Not Specified,False,China, Biotechnology,Medicine & Health Sciences,7,5,True,"Xi'an Belt and Road Scholarship (100% Tuition + Living Allowance 1,500 RMB/months for 10 Months)","['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Personal interest/passion']",-
Pre-university/foundation program,Shanghai Jiao Tong University,Not Specified,False,China, Humanities & Social Sciences,Business & Economics,4,4,False,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Sichuan University,Not Specified,False,China, Business,Business & Economics,5,4,True,100% Free Tuition,"['Academic reputation', 'Scholarship/financial aid', 'Location/country preference']","I researched different cities, and Chengdu stood out to me most for its living conditions, affordable cost, and also the balance between nature and tech. + im beyond excited to leave this country."
Undergraduate university program (S1/Bachelor's),Southeast University,Not Specified,False,China, Mechanical Engineering,Engineering,2,1,True,Partial Scholarship for Tuition,"['Academic reputation', 'Scholarship/financial aid', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",
Pre-university/foundation program,Southwestern University of Finance and Economics,Not Specified,False,China, Chinese Business,Business & Economics,2,1,,,['Family considerations'],
Undergraduate university program (S1/Bachelor's),The Chinese University of Hong Kong,Shenzhen,False,China, Computer Science and Engineering,Computing & Data,5,4,True,50% of Tuition for 4 Years,"['Academic reputation', 'Scholarship/financial aid', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life']",
Undergraduate university program (S1/Bachelor's),Xi'an Jiaotong-Liverpool University,Suzhou,False,China, Financial Mathematics,Business & Economics,2,1,False,,"['Academic reputation', 'Cost/expenses', 'Location/country preference']",My greatest enemy is the Great Firewall
Undergraduate university program (S1/Bachelor's),Xiamen University,Not Specified,False,China, Finance,Business & Economics,5,4,,,"['Academic reputation', 'Cost/expenses', 'Location/country preference', 'Family considerations', 'Campus/student life', 'Personal interest/passion']",
Undergraduate university program (S1/Bachelor's),Zhejiang University,Hangzhou,False,China, Management,Business & Economics,2,1,False,,"['Academic reputation', 'Location/country preference', 'Family considerations', 'Career opportunities', 'Campus/student life', 'Personal interest/passion']",-
Undergraduate university program (S1/Bachelor's),Bina Nusantara University,Alam Sutera,True,Indonesia, Artificial Intelligence,Computing & Data,1,1,True,100% of Building Fee (DP3),"['Academic reputation', 'Location/country preference', 'Family considerations']",
